ප්‍රංශයේ අගනුවර කුමක්ද?, ප්‍රංශයේ අගනුවර පැරිස් ය.
වෘත්තයක වර්ගඵලය ගණනය කිරීමේ සූත්‍රය කුමක්ද?,රවුමක වර්ගඵලය ගණනය කිරීමේ සූත්‍රය πr^2 වේ. මෙහි r යනු වෘත්තයේ අරය වන අතර π යනු දළ වශයෙන් 3.14 ට සමාන ගණිතමය නියතයකි.
"To Kill a Mockingbird" හි කතුවරයා කවුද?, "To Kill a Mockingbird" හි කතුවරයා Harper Lee ය.
සෙල්සියස් වල ජලය තාපාංකය යනු කුමක්ද?, සෙල්සියස් වල ජලයේ තාපාංකය අංශක 100 කි.
පයිතගරස් ප්‍රමේයය යනු කුමක්ද?, පයිතගරස් ප්‍රමේයය යනු සෘජුකෝණාශ්‍රය ත්‍රිකෝණයක දී කර්ණය (දකුණු කෝණයට ප්‍රතිවිරුද්ධ පැත්ත) දිගේ චතුරස්‍රය දිග වර්ගවල එකතුවට සමාන වන බව ප්‍රකාශ කරන ගණිත ප්‍රමේයයකි. අනෙක් පැති දෙක.
මොනාලිසා සිතුවම් කළේ කවුද?, මොනාලිසා සිතුවම් කළේ ලියනාඩෝ ඩා වින්චි විසිනි.
ගෝලයක පරිමාව ගණනය කිරීමේ සූත්‍රය කුමක්ද?,ගෝලයක පරිමාව ගණනය කිරීමේ සූත්‍රය (4/3)πr^3 වේ. මෙහි r යනු ගෝලයේ අරය වන අතර π යනු ආසන්න වශයෙන් 3.14 ට සමාන ගණිතමය නියතයකි.
එක්සත් ජනපදයේ වත්මන් ජනාධිපතිවරයා කවුද?, එක්සත් ජනපදයේ වත්මන් ජනාධිපතිවරයා වූයේ ජෝ බයිඩන් ය.
රික්තයක ආලෝකයේ වේගය කුමක්ද?, රික්තයක ආලෝකයේ වේගය තත්පරයට මීටර් 299 792 458 ක් පමණ වේ.
"I Have a Dream" කතාව ලිව්වේ කවුද?, "I Have a Dream" කතාව ලිව්වේ මාර්ටින් ලූතර් කිං ජූනියර්.
අපගේ සෞරග්‍රහ මණ්ඩලයේ විශාලතම ග්‍රහලෝකය කුමක්ද?, බ්‍රහස්පති යනු අපගේ සෞරග්‍රහ මණ්ඩලයේ විශාලතම ග්‍රහලෝකයයි.
දුරකථනය සොයාගත්තේ කවුද?,දුරකථනය සොයාගත්තේ ඇලෙක්සැන්ඩර් ග්‍රැහැම් බෙල් විසිනි.
රත්රන් සඳහා රසායනික සංකේතය කුමක්ද?,රත්රන් සඳහා රසායනික සංකේතය Au වේ.
මුහුදු මට්ටමේ වාතයේ ශබ්දයේ වේගය කුමක්ද?, මුහුදු මට්ටමේ වාතයේ ශබ්දයේ වේගය තත්පරයට මීටර් 343 ක් පමණ වේ.
"Jaws" චිත්‍රපටිය අධ්‍යක්ෂණය කළේ කවුද?, "Jaws" චිත්‍රපටය අධ්‍යක්ෂණය කළේ Steven Spielberg විසින්.
ෆැරන්හයිට් සෙල්සියස් බවට පරිවර්තනය කිරීමේ සූත්‍රය කුමක්ද?,ෆැරන්හයිට් සෙල්සියස් බවට පරිවර්තනය කිරීමේ සූත්‍රය (F - 32) * 5/9.
පෙනිසිලින් සොයා ගත්තේ කවුද?, පෙනිසිලින් සොයා ගත්තේ ඇලෙක්සැන්ඩර් ෆ්ලෙමින් විසිනි.
වස්තු දෙකක් අතර ගුරුත්වාකර්ෂණ බලය ගණනය කිරීමේ සූත්‍රය කුමක්ද?, වස්තු දෙකක් අතර ගුරුත්වාකර්ෂණ බලය ගණනය කිරීමේ සූත්‍රය F = G * (m1 * m2) / r^2 වේ. G යනු ගුරුත්වාකර්ෂණ නියතය m1 සහ m2 යනු වස්තු දෙකේ ස්කන්ධයන් වන අතර r යනු ඒවායේ ස්කන්ධ කේන්ද්‍ර අතර දුර වේ.
ලෝකයේ උසම කන්ද කුමක්ද?,ලෝකයේ උසම කන්ද එවරස්ට් කන්දයි.
"Pride and Prejudice" නවකතාව ලිව්වේ කවුද?, "Pride and Prejudice" නවකතාව රචනා කළේ Jane Austen විසිනි.
ශ්‍රී ලංකාවේ අගනුවර කුමක්ද?,ශ්‍රී ලංකාවේ අගනුවර කොළඹ වේ.
