0,1
වහියි වගේ නේද?,කියන්න බෑ.
නැත්තම් දුකයිද,නැහැ
ලංකාව ස්වභාව සෞන්දර්යයෙන් පිරි  රටක් නේද,ලංකාවේ ලස්සනයි තමයි
ඇයි එයා ඒම කිව්වේ.,දන්නේ නෑ
විශ්වාසයිද?,ඔව් ගොඩක්
කාර් එක අයින් කරලා දෙනවද?,"ඉන්න,අයින් කරලා දෙන්නම්."
පරිඝනකය වේගවත් නේද?,ඔව් වේගවත් 
කාලා හොදට වතුර බොන්න ඕනෙ හරිද?,හරී
ඌ පිස්සෙක් නේද?,අපෙෝ ඔව්
කෝ දැන් තාක්ෂණයක් නැද්ද?,තියෙනවා
අපිට ළමයි ඕනිද?,ඔනි
හැමදාම මෙහෙම පරක්කු වෙනවාද?,නැ සමහර වෙලාවට 
මට නටන්න පුලුවන්ද,පුහුණු උනොත් පුළුවන්
දිව ගිලෙන්න එනවා තිබහට,ඉන්න මන් වතුර වීදුරුවක් ගේන්නම්
ලොව ප්‍රදාන ස්වාභාවික රබර් නිෂ්පාදන රට?,තායිලන්තය.
ඔයා රෑට කෝපි බොනවද?,ඔව්
ඔබේ යහලුවන් ඔබ හමුවීමට නිවසට පැමිනෙනවාද? ,ඔව් 
වගා කිරීම අස්වැන්න නෙළා ගැනීම තරම් පහසු නොවේ,ගතාරේ
පැහැදිලිව ප්‍රශ්න ඇසුවද?,ඔව්.ඉතා පැහැදිලියි.
ඉතින් ඔය කෝච්චිඔක්කොම නිකන්ද මිනිස්සු එක්කන් ගියෙ?,නැහැ නේද
මරු කවද්ද යන්නේ,ලබන සතියේ
මේ දවස් වල පාරේ වාහන අඩුයි නේද,තෙල් නැති නිසා නේද
කොහොමද ඔයා මේක කරන්නේ?,ගොඩක් ම්හන්සි වෙලා කරනවා
තව කී දවසක් මාර්ගගත විදිහට ඉගනගන්නද?,සෙමෙස්තරයම
නිදහස තියෙනවද?,ඔව්
ඉබ්බා ගොඩබිම වාසය කරනවාද? ,ඔව් 
ලංකාවේ ප්‍රදානතම ආහාරය කුමද?,බත්
කොහෙන්ද දර හොයා ගත්තෙ?,වත්තෙන්
කළු මුහුද කළු පාටයිද?,නැහැ
ඔව්න් ඉතා සමීපයිද?,මන් හිතන් නෑ
මගේ උපන්දිනේට මොනවද දෙන්නේ?,ඔයා කැදති දෙයක් ඉල්ලන්න
එහි මිල කීයද?,රුපියල් සියයයි
දඩුවම් විදිනවද?,විදිනවා.
මම ඔයාගෙ ගෙදර එන්නද?,හා.
බස් එකේ යන්න ඔය කැමතිද?,නෑ මම කැමති නෑ
ඔයාගෙ විභාගය ලේසිද ?,නැහැ ලේසි නැහැ
නෑදෑයෝ කවුරුහරි පොලීසියේ ඉන්නවද?,එක්කෙනෙක් ඉන්නවා
කොහොමද ඔයාට? ,හොඳයි
රවට්ටන්න පුලුවන්ද?,රවට්ටන්නම්.
මොකද්ද ඔයාගෙ ගැටළුව?,දැනට ගැටලුවක් නැහැ
මොකද්ද ඔයාට කියන්න තියෙන්නේ?,නැ ඒක හරි
පසිදුව රොහල් ගත කලාද ?,වාහනයක් හොයා ගත්තේ අමරුවෙන්.
මොනාද බොන්න ආස?,අරක්කු
මම කියන විදියට වැඩ කරනවද?,ඔයා කියන විදියට වැඩ කරන්නම්.
අපිට සල්ලි ඇති වෙයිද?,ඇති වෙයා
බලය තියෙන්නෙ දුබලයන් ආරක්ශා කරන්න නේද?,ඔව්
ඔබ පැණිරස කෑමට ආසයිද?,මම පැණිරස කෑමට ආස නෑ
ස්ටේෂන් එකට යන්නෙ මොකෙද ,අපේ වැන් එකේ යමු
ඇය මාව මුණගැහෙන්න උත්සාහ කරන්නේ ඇයි ?,ඔබගෙන් ණයක් ලබාගැනීමට
අපෙ අක්කිගෙ වැඩෙ කොමද?,ඒක ඉවරයි 
මට ප්‍රශ්න තියනවද?,ඒක දන්නේ ඔයානේ.
ඔයා හැමදාම කන්නෙ එකම දේද?,ඔව්.එකම දේ.
අපේන් මොනවද ඔබට කෙරෙන්න ඕනේ,ඒ මිනිහව පොලිසියට ගෙනල්ලා අවවාදයක් දෙන්න
කළමනාකරණය කරාද?,ඔව් කරා
ඇයි ඔයා බොන් නැත්තේ?,මම බොන්න කැමති නෑ
වමනය කරාද?,එහෙම නෑ.
පහදලා දෙනවද?,හා
කව්ද එයාගෙ තාත්තා?,අරයා
ආයෙ කීයටද කරන්ට් එක එන්නේ?,දන්නෙ නැ
ඔබ පුවත්පත කියවනවාද? ,උදේට කියවනවා
ඇයි ගියේ නැත්තේ?,ඒ පැත්තට ගංවතුර
ඇයි?,නිකම්.
අව්ව සැර වැඩිද,හොදටම වැඩි
කවදා කියලද කිවුවේ ?,ලගදි දවසක්.
ලියන්න ගත්තේ කවද්ද,අද
ඔයා දිවා ආහාරය ගනිමින්ද හිටියේ,ඔව් එහෙමයි
ඔයා මොකක්ද කපන hiar cut එක ,box cut එක
මස් ඉව්වද?,ඔව්
මම නිතරම හිතන්නෙ මගෙ රට ගැන ඒක එහෙම නේද වෙන ඕනෙ?,ඔව් එහෙමයි
හැමෝම ගැන හිතන්න ගියාම එහෙම වෙනවද?,ඔව්
සාරවත්ද?,ඔව්
ඔයා සිගරට් බොනවද?,අපෝ නැ
අපගේ සමාගම ගැන ඔබ දන්නේ කුමක්ද,එය විශාල සමාගමකි
ඒක හොදයිද?,ගොඩක් හොඳයි
මේක බිවුවහම මාර නිදහසක් දැනේන්නේ,කමක් නැ මට එපා
මට මේ ගැන බයයි ,බය වෙන්න එපා
ඉක්මන්න් පටන් ගත්ත ද,නෑ වෙනද වෙලාවමයි
වතුර ටිකක් බොන්න පුළුවන් ද?,ඔව් බොන්න
වත්නෙ වැඩ කරන්නෙ කවුද,සේවකයෙක්
මේ මල සුවදායි නේද?,ඔව් ගොඩක් 
එයා ඔයාට වඩා සුදුයිද,නැහැ
මම ගලක් කියලා හිතුවද?,එහෙම හිතුවෙ නෑ.
ගෙදර යන්නද?,"දැන්ම ගෙදර යන්න ඕන නෑ,"
කිීයකටද විකුණුවේ?,ලොකු ගානකට.
ඇයි ඒ ස්ලි ගත්තේ?,මට සල්ලි නැති නිසා
ඔයා රොබෝ තාක්ෂණය ගැන දන්නවද?,නෑ දන් නෑ 
මොකද්ද වෙලා තියෙන්නේ?,මට එපා වෙලා ඉන්නේ.
වතුර ටිකක් නැතුව මනුස්සයෙක් කොච්චරක් කල් ජීවත් වෙයිද?,දවසක් විතර
ගඳයි ද?,නෑ
ඇයි මට ඇහුම්කන් නොදෙන්නේ?,සමාවෙන්න මට
පලස්තීනයට ගියාද?,ඔව් එහෙට තමයි ගියේ
ඔයා එතන හිටියේ නැද්ද,නැහ
ඇස් පෙනීම දුර්වලද?,ටිකක් විතර
තෙබු කොල ආහාරයට ගැනීමෙන් ශරීරයේ සීනි මට්ටම අඩුවෙනවාද? ,ඔව් 
කපලා දෙන්නද මල්ලි ?,හා
ඔහු හොද යාලුවෙක්ද,ඔව් අනිවාර්යයෙන් 
අලුත් මුඛ ආවරණයක් ගත්තද?,නෑ පරන එකම තමා
 පොඩ්ඩක් ගිහිල්ලා බලානවද, හා මම ගිහින් බලන්නම් ඔයා ඔය වැඩේ කරන්නකෝ
හිතලා බලලා වැඩ කරනවද?,හිතන්න ඕන.
ඔබ එය භුක්ති විඳිනවාද?,අනිවාර්යෙන්ම
මේ පාර දන්සල් තියෙනවද?,ඔව් මම හිතන්නේ
බල්ලා හොඳින්ද නැත්නම් අපි පශු වෛද්‍යවරයා වෙත යා යුතුද? ,හොඳින් එයා 
වෙන මොනවද ඔයා මගෙන් බලාපොරොත්තු වෙන්නේ?,මේ සඳහා තව අමතර මුදලක් අවශ්‍යයි
ඒ බලු පැටියාව දැක්කම ආදරෙ හිතෙනවා නේද,ඔව් ඒක ඇත්ත 
කොච්චර කිවුවත් ඇහුවෙ නැද්ද?,ඇහුවෙ නැහැ.
ඒක කරන්න අමාරු වැඩක්ද?,නෑ කරන්න බැරි වැඩක්
ඔයා මිනිස්සුන්ව පහත් කරලා සලකනවද?,නැහැ 
ඔලුව පැලෙන්න කැක්කුමයි,පැනඩෝල් දෙකක් බොන්න
මට ටිකක් ඔයත් එක්ක නිදහසේ කතා කරන්න පුලුවන්ද,ඔව් පුලුවන්
ඔබ බොරු කියලා තියෙනවද? ඔව්,ඔව් 
කොහොමද චිත්‍ර අඳින්නෙ?,පුරුදු වීමෙන්
ඇයි ඔයා ගොඩක් නපුරැ ?,මම ඔයා තරම් නපුරැ නෑ
කවුද දුන්නේ?,කොල්ලෙක්.
පන්සලට ගොඩක් දුරද? ,"නැහැ, පයින් යන දුර."
