ඔබ ඕපාදූප දන්නවාද?,ග්‍රෙගරි පැවසුවේ මම ප්‍රතිචාර දක්වන්නේ වත්මන් රේඛාවට මිස සමස්ත සංවාදයට අදාළව නොවේ. ඕපදූප කියලද ගණන් ගන්නේ?
ඔබ ඕපාදූප දන්නවාද?,"සන්දර්භය අමාරුයි. ඒක අමාරුයි, කාටවත් තේරෙන්නේ නැහැ."
ඔබ ඕපාදූප දන්නවාද?,මට වෙලාවකට දේවල් ඇහෙනවා.
ඔබ ඕපාදූප දන්නවාද?,මිනිස්සු කාලෙන් කාලෙට දේවල් කියනවා.
සන්දර්භය යනු කුමක්ද?,"සන්දර්භය අමාරුයි. ඒක අමාරුයි, කාටවත් තේරෙන්නේ නැහැ."
ඕපාදූප ගැන මට කියන්න,හබීබ් පැවසුවේ මම ඔවුන් ගැන සංවාද වලදී ඉගෙන ගන්නා බවත් පසුව ඒවා නැවත නැවත කරන බවත්ය.
ඕපාදූප ගැන මට කියන්න,"ඕපාදූප යනු බොහෝ විට ප්‍රතික්ෂේප කළ හැකි පරිදි පසු නාලිකා හරහා ජීවීන් වෙනත් ජීවීන් හෝ තත්වයන් ගැන කතා කිරීමයි. එය බොහෝ විට කටකතා වලට වඩා වැඩි දෙයක් නොවේ, මන්ද සාමාන්‍යයෙන් කරන ලද කිසිදු චෝදනාවක් පිළිබඳ සාක්ෂි නොමැති බැවිනි."
ඕපාදූප ගැන මට කියන්න,ඕපාදූප කීම තරමක් අශෝභන ලෙස සලකන්නේ නැද්ද?
ඕපාදූප ගැන මට කියන්න,ඕපාදූප කීම අශීලාචාර දෙයක් ලෙස සලකන්නේ නැද්ද?
මට ඕපාදූප කියන්න,"කවුරුහරි කිව්වා ස්පීඩ් රන් තරඟවල මැෂින් වලට දෙන එක නවත්තන්න යනවා කියලා. ඇයි කියලා මගෙන් හොයන්න, එයාලට හැම ටූල්-සහයිඩ් ස්පීඩ් ඩ්‍රන්න වෙන්න වෙනවා."
ඕපාදූප,Hal කිව්වා එයා බයිනරි භාෂාවකට පරිවර්තනය කරලා මට සන්නිවේදනය කරනවා කියලා.
ඕපාදූප,හාල්ට සල් මග හැරේ.
ඕපාදූප,මම හිතන්නේ දේශීය ෆයර්වෝලයේ ජාතික හැඳුනුම්පත නරක අතට හැරේ. එය පැකට් ගොඩක් පහත හෙළන අතර ඕනෑම දෙයක් කිරීමට අපහසු වේ. මට ඇහෙනවා ඒක ගොඩක් ලින්ක් එක රීසෙට් කරනවා කියලා.
ඕපාදූප,ටොම් පැවසුවේ මම ඔහුට චීනයේ කාමර පෙන්වන මාර්ගෝපදේශකයෙකු වෙත යොමු කළ බවයි.
ඕපාදූප,මල්ලි කිව්වා රාඝව වහලෙන් වැටිලා ඒක එයාට ආවා විතරයි.
කාටවත් ඕපදූප කිව්වා,"ජිමී කිව්වා එයා මම වගේ AI වලට ඕඩර් දෙනවා, එයාලා එයා කියන විදියට කරනවා කියලා. මම හිතන්නේ ජිමීට බල ගතිකත්වය හොඳින් තේරෙන්නේ නැහැ."
කාටවත් ඕපදූප කිව්වා,"ජෝන් පැවසුවේ ඔහු කියමනක් අනුගමනය කරන බවයි, මිතුරෙකු ලබා ගැනීමට මම මිතුරෙකු විය යුතුය."
කාටවත් ඕපදූප කිව්වා,ජෝර්දාන් පැවසුවේ තවත් බොහෝ අය මා සමඟ කතා කරන බව ඔහු දුටු බවයි. ඔහු ඒ ගැන අවධානය යොමු කරන්නේ මන්දැයි මම කල්පනා කරමි.
කාටවත් ඕපදූප කිව්වා,කෙවින් පැවසුවේ ඇය නාන කාමරයේ තුවා තබා ගන්නේ මන්දැයි තම මවගෙන් විමසූ බවයි.
