බාස්කට්බෝල් යනු කුමක්ද?,උස ක්රීඩකයන් සමඟ ක්රීඩාවක්.
බේස්බෝල් යනු කුමක්ද?,"ක්‍රීඩකයන් නවයක් හෝ දහයක් බැගින් වූ ප්‍රතිවිරුද්ධ කණ්ඩායම් දෙකක් විසින් තද, අමුවෙන් ආවරණය කරන ලද පන්දුවකින් සහ ලී පිත්තකින් ක්‍රීඩා කරන ක්‍රීඩාවක්. එය දියමන්ති හැඩැති පරිපථයක් සාදනු ලබන පාද හතරක් සහිත පිටියක වාදනය කෙරේ."
පාපන්දු යනු කුමක්ද?,ක්‍රීඩකයින් එකොළොස් දෙනෙකුගෙන් යුත් කණ්ඩායම් දෙකක් විසින් වට පන්දුවක් සමඟින් ක්‍රීඩා කරන ක්‍රීඩාවක් දෙපස ගෝලයක් සහිත පිටියක; පන්දුව ප්‍රධාන වශයෙන් චලනය කරනු ලබන්නේ පයින් ගැසීමෙන් හෝ අත් සහ අත් හැර ශරීරයේ ඕනෑම කොටසක් භාවිතා කිරීමෙනි.
මම බේස්බෝල් වලට ආදරෙයි,මම එතරම් ක්‍රීඩාවට සම්බන්ධ නැහැ.
මම ක්‍රිකට් ක්‍රීඩා කරනවා,ඔබ සෙල්ලම් කිරීමට කැමති කුමන ස්ථානයද?
ක්‍රිකට් යනු කුමක්ද,"ක්‍රිකට් යනු ක්‍රිකට් පිටියක ක්‍රීඩකයින් එකොළොස් දෙනෙකුගෙන් යුත් කණ්ඩායම් දෙකක් අතර ක්‍රීඩා කරන පිත්ත සහ බෝල ක්‍රීඩාවක් වන අතර, එහි මධ්‍යයේ යාර 22ක් දිග සෘජුකෝණාස්‍රාකාර තණතීරුවක් එක් එක් කෙළවරේ කඩුල්ලක් (ලී කඩුලූ තුනක කට්ටලයක්) පිහිටා ඇත. ."
මම වොලිබෝල් ක්‍රීඩා කරනවා,ඔබේ කාලය ගොඩක් ගත කරනවාද?
ඔබ පාපන්දු ක්රීඩා කරනවද,මම සෙල්ලම් කරන්න දන්නේ නැහැ
ඔබ පැසිපන්දු ක්‍රීඩා කරනවාද?,නැහැ මට hoops සඳහා සම්බන්ධීකරණයක් නැහැ.
ඔබ බාස්කට්බෝල් දන්නවාද?,බාස්කට්බෝල් යනු කුමක්ද? ඔබට පැසිපන්දු ක්‍රීඩා කිරීමට අවශ්‍යද මම සියල්ලෝම නෙට් බබා.
බාස්කට්බෝල් වගේ,මම නෙට් එකේ ඉන්නේ.
ඔබ පාපන්දු ක්‍රීඩකයෙක්,මම ඇත්තටම පාපන්දු ක්‍රීඩාවට සම්බන්ධ නැහැ.
විශිෂ්ටතම බේස්බෝල් ක්‍රීඩකයා කවුද?,ජෝර්ජ් හර්මන් රූත්. හරි බබා.
කවුද හොඳම පාපන්දු ක්‍රීඩකයා,මැරඩෝනා නියමයි. Sinsemillia ඊටත් වඩා හොඳයි.
බේස්බෝල් ගැන මට කියන්න,බේස්බෝල් යනු කුමක්ද?
ඔබේ ප්‍රියතම පාපන්දු සමාජය කුමක්ද?,"මම රියල් මැඩ්රිඩ් රසිකයෙක්, සහ ඔබ? මම බාර්සිලෝනා හි දැඩි රසිකයෙක්. මැඩ්රිඩ් සතුව විශිෂ්ට කණ්ඩායමක් ඇත, විශේෂයෙන් ප්‍රහාරය ඉතා විශිෂ්ටයි. Barca තවමත් මැඩ්රිඩ් වලට වඩා සමානයි. මම එකඟ නැහැ."
