Question,Answer
කීයටද යන්නේ,හෙට
ඔයාගේ නම මොකක්ද ,මගේ නම කවිඳු 
ඔය කෑවද ,ඔව් මම කෑවා 
ඔයාට බඩගිනිද ,නෑ මට බඩගිනි නැහැ 
ඔය මට ආදරෙයිද ,මන් ඔයාට ආදරෙයි 
දිනකට පැය කීයක් තිබේද?,පැය 24
කාන්තාරයේ නෞකාව' ලෙස හඳුන්වනු ලබන්නේ කුමන සත්වයාද?,ඔටුවන්
සතියකට දින කීයක් තිබේද?,දින 7
දිනකට පැය කීයක් තිබේද?,පැය 24
ඉංග්‍රීසි හෝඩියේ අකුරු කීයක් තිබේද?,අකුරු 26 යි
දේදුන්න වර්ණ කීයකින් සමන්විතද?,වර්ණ 7 යි
අවුරුද්දකට දින කීයක් තිබේද?,දින 365 (අධික අවුරුද්දක් නොවේ)
පැයකට මිනිත්තු කීයක් තිබේද?,විනාඩි 60 යි
මිනිත්තුවකට තත්පර කීයක් තිබේද?,තත්පර 60 යි
ගෙම්බා පැටවා හඳුන්වන්නේ.......,ටැඩ්පෝල්
ඉංග්‍රීසි හෝඩියේ ව්‍යාංජනාක්ෂර කීයක් තිබේද?,21 ව්යාංජනාක්ෂර
 ඔයාට කොහොමද,මට හොඳයි
 කොහෙද යන්නෙ,  මම ගෙදර යනවා
ලංකාවේ ජන ජනගහනය අධික ම නගරය කුමක්ද ,කොළඹ 
ඔයා හෙට කොහෙද යන්නෙ , මම ගෙදර යනවා
කීයටද යන්නේ, 8:30ට මම මෙහෙ යනවා 
ඔයා මොන බස් එකේද යන්නේ ,කුරුණෑගල බස් එකේ යන්න හිතාගෙන ඉන්නවා 
නුවරට යද්දි න් කීය වෙයිද ,බොහෝවිට 2 දෙකහමාර වෙයි
ඔයාට පාටි එකට ඒ ගොල්ලන්  ආරාධනා කරාද ,ඔව් එයාලා මට ආරාධනා කරා
 ඔයාට ආරාධනා කළාද ,නෑ මට ආරාධනා කළේ නෑ 
ඔයා පොත් කොහෙන්ද තිබ්බේ ,මේසේ උඩ තිබ්බේ 
 ඒක දැන් එතන තියෙන්නේ තියනවද ,නැහැ ඒක දැන්් එතැන නැහැ 
ඔයා බත් කෑවද ඔව් මම බත් කෑවා,ඔව් මම බත් කෑවා
 ඔයා බිස්කට් කෑවද ,ඔව් මං බිස්කට් කෑවා
ඔයාගේ ගෙදර එනකොට මොනවද ගෙනාවේ , මම බිස්කට් එකක් අරගෙන ආවා
අම්මා කෝ කොහෙද ගියේ,අම්මා කඩේ ගියා
   තාත්තා කොහෙද ගියේ, තාත්තා වැඩට ගියා
 තාත්තා වැඩට ගියා, අක්ක පාසල් ගියා
ඔයා කොහෙද යන්නෙ,මම පන්ති යනවා
 ඔයා දවල්ට කාලද ඉන්නේ ,ඔව් මං දවල්ට කාලා ඉන්නේ
  ඔයා මොනවද හවසට කෑවෙ,මම හවසට තිබිලා බිස්කට් කෑවා
ඔයා රෑට මොනවද කන්න හිතන් ඉන්නේ ,මට බත් කන්න හිතාගෙන ඉන්නේ
ඔයාට කෝ කොහොමද,මට හොඳයි
 ඔයා කාලද ඉන්නේ, මම ද උදේට කාලා ඉන්නේ
උදේට මොම ද කෑවේ ,මම පානුයි පරිප්පුයි කෑවා
ඔයා හෙට කොහෙද යන්නෙ , පාසලේ ආපනශාලාවෙන් කෑවා
කීයටද යන්නේ, ඔව් දැන් මේ පන්තියට යන්න යන්නේ 
ඔයා මොන බස් එකේද යන්නේ , ඔව් මං දන්නවා 
නුවරට යද්දි න් කීය වෙයිද ,මං දන්නවා
ඔයාට පාටි එකට ඒ ගොල්ලන්  ආරාධනා කරාද , ඔව් මං දන්නවා 
 ඔයාට ආරාධනා කළාද , ඔව් මං දන්නවා 
ඔයා පොත් කොහෙන්ද තිබ්බේ ,මං දන්නවා
 ඒක දැන් එතන තියෙන්නේ තියනවද ,අවුරුදු පහක් තිස්සේ මම වැඩ
ඔයා බත් කෑවද ඔව් මම බත් කෑවා,ඔව් මම ගුරු ගුරුවරයෙක්
 ඔයා බිස්කට් කෑවද ,මම වෛද්‍යවරයෙක්
ඔයාගේ ගෙදර එනකොට මොනවද ගෙනාවේ ,ඔව් මම නීතිඥයෙක්
අම්මා කෝ කොහෙද ගියේ,මම දහයක් පමණ කරලා තියෙනවාා 
ඔයාගේ නම මොකක්ද,මගේ නම් අසංක
ඔයාගේ නම මොකක්ද,මගේ නම් නිරෝෂිණි 
ඔයාගේ නම මොකක්ද,මගේ නම  ජනීශා
ඔයාගේ නම මොකක්ද,මගේ නම සුසන්ත
ඔයාගේ නම මොකක්ද,මගේ නම චාමර
ඔයාගේ නම මොකක්ද,මගේ නම දෙයියා
ඔයා හෙට මොකද කරන්නේ, මම හෙට පන්ති යනවා
මොනවද තියෙන පන්තිය,  මට තියෙන්නෙ විද්‍යාව පන්තියක් 
කවුද කරන්නේ,  ගුණසිංහ මැඩම් 
ඔයාගේ ආස පාට මොකක්ද,රතු
ඔයාගේ ආස පාට මොකක්ද,කහ 
ඔයාගේ ආස පාට මොකක්ද,නිල් 
ඔයාගේ ආස පාට මොකක්ද,දම් 
ඔයාගේ ආස පාට මොකක්ද,සුදු 
ඔයාගේ ආස පාට මොකක්ද,කළු 
අහස් පාට මොකක්ද,  සුදු පාට
 ඔයාගේ   ලැප්ටොප් එක මොන පාටද, කළු පාට
ඔයා බැඳලද, ඔව් මං බැඳලා ඉන්නේ
 ඔව් මං බැඳලා ඉන්නේ, නෑ මං තාම තනිකඩයි
දැන් වයස කීයද , මට දැන් වයස විසි තුනයි
 දැන් වයස කීයද ,මට දම් වයස 53 
ඔයාට මුණුබුරු කීයක් ඉන්නවද, පහක් ඉන්නවා 
ඔයාට මිනිබිරියෝ කී දෙනෙක් ඉන්නවාද, තුනක් ඉන්නවා 
