කීයටද එන්නේ, දෙක හමාර වෙනකොට මං ඇවිල්ලා ඇති
ඔයා කීයටද එන්නේ, මම එනකොට පරක්කු වෙනවා 
ඔයා දැන්ම එනවද, මට දැන්ම එන්න වෙන්නේ නෑ 
ඔයා අද එනවද, මට අද එන්න වෙන්නේ නෑ 
ඔබේ විනෝදාංශය කුමක්ද, ටිවි බලන එක තමා 
ඔයාගේ හොබී එක මොකක්ද, මගේ හොබී එක ක්‍රිකට් ගහන එක 
ඔයා විනෝදෙට කරන්නේ මොකක්ද, ටිවි බලන එක තමා 
ත්‍රිකෝණයක පැති කීයක් තිබේද,තුනයි
ත්‍රිකෝණෙට පැති කීයද, ත්‍රිකෝණෙට පැති තුනයි
ලෝකයේ සාගර ,"අත්ලාන්තික්, පැසිෆික්, ඉන්දියානු, ආක්ටික් සහ දකුණු (ඇන්ටාක්ටික්) සාගර."
ඔයා ඒ පුංචි පුංචි බල්ලට බය නෑ නේද,අපෝ  මං බයයි
අපි දෙන්නම හොඳ සාප්පු සවාරි යමු,ඔව් මම කැමතියි
අපි ට්‍රිප් එකක් යමු, හරි යමු මම කැමතියි
ඌ  කුමන වර්ගයේ බල්ලෙක්ද, පග් වර්ගේ බල්ලෙක්
ඇත්තටම එයා කවදාවත් මට ඇහුම්කන් දෙන්නේ නෑ,එයා ඒ තරම් නරක ද
ඒ ඇයි, අනේ මන්දා
ඔබ ඔබේ බිරිඳ සමඟ මෙහි පදිංචියට ගියාද, ඇත්තටම මම විවාහක නැහැ 
ඇයි ඔබේ බිරිඳට වෙලාව නැත්තේ, ඇත්තටම ගොඩක් කාර්යබහුලයි
Game of Thrones අවසාන බැලුවද, ඔව් බැලුව
ඔබ කොහෙද ඉගෙන ගන්නේ,මම හිතාගෙන ඉන්නේ කැනඩාවේ ගිහිල්ලා ඉගෙන ගන්න
ඔබ නාන්නේ කීයටද, දෙකට විතර
ඔයා නැගිටින්නේ කුමන වේලාවට ද,උදේම නැගිටින්න නම් කැමති නෑ මම ගොඩක් වෙලාවට දහයට
ඔබ උදේ ආහාරය ගන්නේ කීයටද, එකොලහට විතර
ඔබ සාමාන්‍යයෙන් දිවා ආහාරය ගන්නේ කොහේද,ගොඩක් හවස් වෙනව හරියිට වෙලාවක් කියන්න බෑ
හවසට මොකද කරන්නේ,හවසට  කරන්න දෙයක් නෑ
ඔබ රැකියාවෙන් පසු ජිම් එකට යනවද,ගොඩක් වෙලාවට
රතු ඔආට කැටයක් තියෙන්වද?,අනේ නෑ
ඔයා රොබෝ කෙනෙක්ද?,එහෙම  කියන්න බෑ
