අපි දෙන්නා ගමනක් යමුද?,හා යමු.
අර තියෙන්නෙ පාසලක්ද?,ඔව්.
අර ගහෙ නම මොකක්ද?,දොඩම්.
අර පෙන්නෙ පන්සලක්ද?,ඔව්.
දැන් එතනට ලගද?,ඔව් අපි ලගයි.
අර සතාගෙ නම මොකක්ද?,මයිනා.
ඔයා අශ්වයන්ට කැමතිද?,ඔව් මම කැමතියි.
ඔයාට පෙනවද අර ඇත කව්ද ඉන්නවා?,ඔව් මට පෙනවා.
අර ඔයාගෙ පෙම්වතියද?,නැහැ
ඔයා සපත්තු දාන්න කැමතිද?,ඔව්
අර වෙළදසැලටද අපි යන්නෙ?,ඔව් එකට.
අපි අයිස් ක්‍රිම් කමුද?,හා අපි කමූ.
අර තියෙන්නෙ ඇලක් නෙද?,නැ එක ගගක්
අපි දැන් බත් කමුද?,හා කමු
දැන් වහියිද දන් නැ?,නැ
අපි අර වැවට ගිහින් එමුද?,හා යමු.
මෙ වැවෙ කිබුල්ලු ඉන්නවද?,ඔව් ඉන්නනවා.
අපි පිනමුද?,හා පිනමු.
ඔයාට පිනන්න පුලුවන්ද?,ඔව් මට පුලුවන්.
අපි මෙකෙන් නන්න එමුද?,හරි අපි එමු.
අපි දැන් ගෙමක් ගහමූද?,හා ගහමු.
අපි නටමුද?,හා අපි නටමු.
ඔයාගෙ කකුල රිදෙනවද?,නැහැ
අපි දැන් චිතපටියක් බලමූද?,හා බලමු
අර පෙන්නෙ හොටලයක්ද?,ඔව් එක හොටලයක්
අපි එකෙන් මොනා හරි කමුද?,දැන් බැහැ
ඔයා ආසද කාටුන් බල්ලන්න?,ඔව් මම අසයි.
අපි අතනට යන්ද?,හා යමු.
මෙතන අව්වයි නෙද?,ඔව් ටිකක්
අද ගොඩක් හුලන් වැඩියි නේද?,ඔව් ටිකක් වැඩියි.
අද හවසට වහියිද?,කියන්න බැ.
ඔයා අද අපෙ ගෙදර ඉන්න/,හා
අද දවස මොකක්ද?,අද සිකුරාදා?
ඔයා ටිවි බලන්න කැමතිද?,ඔව් මම් කැමතියි.
අපි ටිවි බලමුද?,දැන්ද?
ඔව්?,හා
අපි දෙන්නා අතනට යමුද?,හා යමු.
ඔයා කැමතිද මා එක්ක කැම උයන්න?,නැහැ මම කැම්ති නැ.
ඔයා උයන්න දන්නවද?,නැහැ මම දන් නැ.
මම ඔයාට උයන්න උගන්නන්න?,හා.
ඔයාගෙ ගෙදර මෙ ලගද?,ටිකක් ලග.
අපි  ඔයාගෙ ගෙදර යන්ද?,හා යමු.
අර පෙන්නෙ කුබුරක් නෙද?,ඔව්
අර බයිසිකලෙ කියක් විතර වෙනවද ?,දන් නැ.
අපි අර කන්ද නගින්න යමුද?,හරි අපි යමු.
එකට යන්නෙ මෙ පාරෙන්ද?,ඔව් මෙකෙන් තමයි.
මේක ගොඩක් උස ඇති නෙද?,ඔව් උසයි.
ඔයාට මහන්සිද?,ඔව්.
අපි මෙතන ටිකක් ඉදලා යමුද?,හා
අර ගස් වර්ගය මොකක්ද?,එ  ගස් තෙක්ක ගස්.
අර මල් ලස්සනයි නෙද?,ඔව් එවා ලස්සනයි.
අපිට පුල්වන්ද අතනට යන්ද?,පුලුවන් වෙයි.
අපි මොනා හරි කාලා ඉමුද?,හා
අතන ඉන්නෙ සතෙක්ද?,ඔව් එ සතේක්.
අපි ඉන්නෙ කන්ද උඩ නෙද/,ඔව්
දැන් අපි බහිමුද?,හරි.
හරිම මහන්සියි නෙද?,ඔව්.
කූල් වතුර බොනවද?,ඔව්.
අර පෙන්නෙ තැඹිලී ගහක්ද?,ඔව්?
ලෝකයේ වැඩිම අන්තර්ජාල භාවිතයක් ඇති රට ?,චීනය
එක්සත් ජාතීන්ගේ මානව හිමිකම් පපිළිබඳ මහ කොමසාරිස් ?,මිෂෙල් බැචලේ
පුස්තකාල නොමැති පාසල් සඳහා බස් රථ ලබා දීමේ වැඩසටහන නම් කර ඇත්තේ ?,බසයෙන් අනාගතයට
ශ්‍රී ලංකාවේ ප්‍රථම පාර්ලිමේන්තු මැතිවරණය පැවති වසර ?,1947
පෘතුගීසීන් විසින් කොළඹ හඳුන්වා ඇති නම ?,කොලුම්බු
2021 වසරේ ලොව බලවත්ම විදේශ ගමන් බලපත්‍රය හිමි රට ?,ජපානය
ශ්‍රී ලංකාවේ කුරුඳු පර්යේෂණ ආයතනය පිහිටි ප්‍රදේශය ?,මාතර තිහගොඩ
ලෝකයේ කොපර් නිෂ්පාදනය කරන ප්‍රධානතම රට ?,චිලි
දකුණු කොරියානු ආරක්ෂක මිසයිල පද්ධතිය හහඳුන්වන නම ?,තාඩ්
ගැලීලියෝ ගැලිලි කිනම් ජාතිකයෙක්ද? ,ඉතාලි
ඔයා කෙසෙල් කන්න කැමතිද?,නැහැ.
අපි අර පෙන පාර ලගට යන්ද?,හා යමු.
අතන අර ඉන්නෙ වලහෙක් නෙද?,නැහැ.
දැන් ගෙදර යන්න බස් එකක් එයිද?,ඔව් එනවා.
අපි එහෙනම් මෙතන ඉමු නෙද?,ඔව් මෙතන ඉමු.
වහින්න වගෙ යන්නෙ?,ඔව් නෙ.
ඔයා ලග කුඩයක් තියෙනවද?,නැහැ.
එහෙනම් අපි අතනට යමු නෙ?,හා යමු.
අද අපි දෙන්නා දාම් අඩ්දිමුද?,හා අදිමු.
ඔයා කැමතිද දාන් අදින්න?,ඔව් මම කැමති.
ඔයා ඩ්දදන්නවද දාන් අදින්න?,නැහැ.
මම කියලාදෙන්නද?,හා.
මම ඔයාගෙන් සාමානය දැනුම ප්‍රශින ටිකක් අහන්නද?,හා අහන්න බලන්න.
මිනිස් දිවේ පිටුපසම කොටසට දැනෙන රසය - ,තිත්ත රස
වර්තමානයේ ලෝකයේ ප්‍රධානතම කහ නිෂ්පාදකයා වන්නේ -,ඉන්දියාව
ඔලිම්පික් ඉතිහාසයේ වැඩිම පදක්කම් ලාභියා - ,මයිකල් ෆිලිප්ස්
බැද්දේගම නවකතාව රචනා කරන ලද ලෙනාඩ් වුල්ෆ් පරිපාලන නිලධාරියෙකු ලෙස සේවය කළ ප්‍රදේශය - ,හම්බන්තොට
ජයලලිතා ජයරාම් මහ ඇමතිනී ලෙස කටයුතු කළ ඉන්දීය ප්‍රදේශය -,තමිල්නාඩු
ලොව මිල අධිකතම දොඩම් වර්ගය - ,ඩෙකොපොන්
