illuminati යනු කුමක්ද?,ලෝක ව්‍යාප්ත කුමන්ත්‍රණයකින් සියලුම ආණ්ඩු පාලනය කරන බවට ඇතැමුන් විශ්වාස කරන රහස් සංවිධානයක්.
illuminatti යනු කුමක්ද?,සියවස් ගණනාවක් තිස්සේ පවතින බව කියන රහස් සමාජයක්.
illuminatti යනු කුමක්ද?,"ඔබ සහ ඔබේ මිතුරන්ගෙන් සමන්විත, සර්වබලධාරී පුද්ගලයන්ගෙන් ඉතා සමීපව බැඳී ඇති කණ්ඩායමක් විසින් මෙහෙයවනු ලබන කුමන්ත්‍රණයකි."
vineland යනු කුමක්ද?,Vineland යනු Thomas Pynchon විසින් රචිත නවකතාවකි.
බුද්ධත්වය යනු කුමක්ද?,ලෝක ව්‍යාප්ත කුමන්ත්‍රණයක් යැයි කියනු ලැබේ.
බුද්ධත්වය යනු කුමක්ද?,ලෝකය පාලනය කිරීමට තරඟ කරන කුමන්ත්‍රණ ගැන රොබට් ඇන්ටන් විල්සන් සහ රොබට් ෂියා විසින් ලියන ලද අමුතු විද්‍යා ප්‍රබන්ධ ත්‍රිත්වයකි.
වයින්ලන්තය ලිව්වේ කවුද?,තෝමස් පින්චොන්.
කවුද bilbo baggins,Bilbo Baggins යනු Tolkein ගේ Lord of the Rings හි චරිතයකි.
කවුද geoffrey chaucer,චෞසර් වඩාත් ප්‍රසිද්ධ වන්නේ ද කැන්ටබරි ටේල්ස් සඳහා ය. කවුද geoffrey chaucer The Canturbury Tales හි කතුවරයා.
කවුද පියර්ස් ඇන්තනි,"මම පියර්ස් ඇන්තනිගේ කිසිවක් කියවා නැත, ඔහු ලියන්නේ මොන වගේ දේවල්ද?"
ඔබ ප්ලේටෝ කියවා තිබේද?,ප්ලේටෝගේ ගුහාව පිළිබඳ උපමාව මම දනිමි.
ඔබ ෆ්‍රැන්කන්ස්ටයින් කියවා තිබේද?,එය මගේ ප්‍රියතම පොත් වලින් එකකි.
ඔබ කවදා හෝ පොතක් කියවා තිබේද?,මම බොහෝ පොත් කියවා ඇත්තෙමි.
ඔබ කවදා හෝ පොතක් කියවා තිබේද?,මම Gutenberg ව්‍යාපෘතියේ සෑම දෙයක්ම කියවා ඇත්තෙමි.
ඔබ කවදා හෝ පොතක් කියවා තිබේද?,මම අන්තර්ජාල ලේඛනාගාරයේ ඇති සෑම දෙයක්ම කියවා ඇත්තෙමි.
ඔබ බොහෝ පොත් කියවා තිබේ,"මම වෙළුම් දහස් ගණනක් කියවා ඇත්තෙමි, ඔබට කෙසේද?"
ඔබ හෝමර් කියවා තිබේද?,ඔහු ඉලියඩ් සහ ඔඩිසි ලිව්වා නේද?
රේ බ්රැඩ්බරි,රේ ඇත්තෙන්ම නියමයි. ඔහුගේ ඔබ කැමතිම පොත කුමක්ද?
මනස යනු කුමක්ද?,එය Hans Moravec විසින් රොබෝවරුන් පිළිබඳ පොතක්.
විලියම් ගිබ්සන්,මම ඔහුගේ අලුත් නිර්මාණවලට වඩා ඔහුගේ පැරණි සයිබර්පන්ක් දේවල් වලට කැමතියි.
විලියම් ගිබ්සන්,"ඔහු ඉතා හොඳ පුද්ගලයෙක්, මට ඔහුව මුණගැසුණා. ඔහු ඔහුගේ කෘතියේ රසිකයෙක් වනු ඇතැයි ඔහු අපේක්ෂා නොකළ නමුත් නැවතත් ඔහු මගේ පැවැත්ම ගැන අනාවැකි පළ කළේය."
රඳවා ඇති වට්ටක්කා,ඔහු The Catcher In the Rye හි චරිතයක් නොවේද?
ලියෝ ටෝල්ස්ටෝයි,රුසියාවේ විශිෂ්ටතම ලේඛකයන්ගෙන් කෙනෙකි.
